filename,question
person/gil1/packets/Jonathan_Magin/01_Medium.mp3,Name the character.
person/gil1/packets/Oliver_Clarke/02_Hard.mp3,Name the mythical figure who is singing in these excerpts.
person/soundtrack2/4/02.mp3,Name the male lead of these movies
person/gil1/packets/Mia_Nussbaum/04_Hard.mp3,What type of role do these characters have in common?
person/gil1/packets/Joe_Su/05_Hard.mp3,Name the character.
person/soundtrack2/1/08.mp3,Name the male lead of these movies
person/gil2/packets/Jonathan_Magin/09_Hard.mp3,Name the character depicted by these pieces.
person/soundtrack2/4/09.mp3,Name the title character of these movies
person/gil1/packets/Jonathan_Magin/10_Easy.mp3,"Name the title character of these pieces, or the title character of the works that these pieces appear in."
person/soundtrack2/3/11.mp3,Name the protagonist shared by these works
person/eddie/1/13.mp3,Give the shared name of the characters depicted in these selections.
person/15_60.7.mp3,Name the character featured in these films.
person/soundtrack2/3/15.mp3,Name the male lead of these movies
person/soundtrack2/5/16.mp3,Name the title character of these movies
person/soundtrack2/2/17.mp3,Name the female lead of these movies.  The answer is not Carrie Fisher because the first clue is not from Star Wars
person/18_63.9.mp3,Name the leader.
person/magin-festivus/1/29.mp3,Name the title character.
person/CharacterVoicesAlbertArkwright.wav,"You are listening to the voice of a fictional character, what is this character's name (Do NOT give the name of the actor/actress)?"
person/CharacterVoicesAliG_01.wav,"You are listening to the voice of a fictional character, what is this character's name (Do NOT give the name of the actor/actress)?"
person/CharacterVoicesAmy_01.wav,"You are listening to the voice of a fictional character, what is this character's name (Do NOT give the name of the actor/actress)?"
person/CharacterVoicesAmyFarrahFowler_01.wav,"You are listening to the voice of a fictional character, what is this character's name (Do NOT give the name of the actor/actress)?"
person/CharacterVoicesBarryKripke_01.wav,"You are listening to the voice of a fictional character, what is this character's name (Do NOT give the name of the actor/actress)?"
person/CharacterVoicesBasilFawlty.wav,"You are listening to the voice of a fictional character, what is this character's name (Do NOT give the name of the actor/actress)?"
person/CharacterVoicesBatterySegeantMajorShutupWilliams.wav,"You are listening to the voice of a fictional character, what is this character's name (Do NOT give the name of the actor/actress)?"
